school_name,classification,year,event,n_qualifiers,best_mark,avg_top3_mark
Aberdeen,2A,2015,1600m,1,268.04,
Adna,2B,2015,100m,1,12.46,
Adna,2B,2015,200m,1,25.82,
Almira C-H,1B,2015,100m,1,13.81,
Almira C-H,1B,2015,800m,1,143.23,
Anacortes,2A,2015,1600m,2,257.5,
Anacortes,2A,2015,3200m,2,561.29,
Anacortes,2A,2015,800m,1,138.14,
Archbishop Murphy,2A,2015,200m,1,22.54,
Arlington,3A,2015,1600m,1,259.26,
Arlington,3A,2015,3200m,1,556.04,
Asotin,2B,2015,1600m,3,261.19,285.46666666666664
Asotin,2B,2015,3200m,3,579.77,626.0233333333334
Auburn,3A,2015,100m,1,11.22,
Auburn Mountainview,3A,2015,1600m,1,260.21,
Auburn Mountainview,3A,2015,3200m,1,568.27,
Auburn Riverside,3A,2015,3200m,1,590.88,
Auburn Riverside,3A,2015,4x100,1,49.78,
Bainbridge,3A,2015,4x400,1,240.55,
Bainbridge,3A,2015,800m,1,135.44,
Ballard,3A,2015,1600m,1,267.58,
Ballard,3A,2015,3200m,2,616.66,
Ballard,3A,2015,800m,1,114.56,
Bellarmine Prep,4A,2015,1600m,2,252.14,
Bellarmine Prep,4A,2015,3200m,2,539.94,
Bellevue,3A,2015,1600m,1,318.82,
Bellevue,3A,2015,200m,1,22.5,
Bellevue,3A,2015,4x100,1,42.7,
Bellevue,3A,2015,4x400,2,202.69,
Bellevue Christian,1A,2015,1600m,1,359.65,
Bellevue Christian,1A,2015,3200m,2,641.92,
Bellingham,2A,2015,100m,1,12.97,
Bellingham,2A,2015,3200m,1,721.73,
Bellingham,2A,2015,4x100,2,43.28,
Bellingham,2A,2015,4x400,1,241.51,
Bickleton,1B,2015,100m,2,13.74,
Bickleton,1B,2015,1600m,1,286.97,
Bickleton,1B,2015,3200m,1,619.79,
Bickleton,1B,2015,4x400,1,223.39,
Black Hills,2A,2015,100m,1,11.41,
Blaine,2A,2015,800m,1,139.04,
Bonney Lake,3A,2015,1600m,1,266.99,
