approval_year,n_approvals,n_controlled,share_controlled,n_controlled_broad,share_controlled_broad,n_nda,n_anda,n_schedule_I,n_schedule_II,n_schedule_III,n_schedule_IV,n_schedule_V
1939,15,0,0.0,1,0.06666666666666667,7,0,0,0,0,0,0
1940,11,0,0.0,0,0.0,3,0,0,0,0,0,0
1941,16,0,0.0,0,0.0,5,0,0,0,0,0,0
1942,12,2,0.16666666666666666,2,0.16666666666666666,5,0,0,2,0,0,0
1943,7,2,0.2857142857142857,2,0.2857142857142857,4,0,0,2,0,0,0
1944,10,0,0.0,0,0.0,4,0,0,0,0,0,0
1945,6,0,0.0,0,0.0,3,0,0,0,0,0,0
1946,14,0,0.0,0,0.0,10,1,0,0,0,0,0
1947,21,3,0.14285714285714285,3,0.14285714285714285,14,1,0,3,0,0,0
1948,28,0,0.0,0,0.0,10,4,0,0,0,0,0
1949,17,0,0.0,0,0.0,13,0,0,0,0,0,0
1950,28,2,0.07142857142857142,2,0.07142857142857142,16,1,0,2,0,0,0
1951,26,0,0.0,1,0.038461538461538464,18,1,0,0,0,0,0
1952,35,1,0.02857142857142857,1,0.02857142857142857,18,1,0,1,0,0,0
1953,48,2,0.041666666666666664,3,0.0625,35,0,0,2,0,0,0
1954,47,1,0.02127659574468085,1,0.02127659574468085,26,4,0,1,0,0,0
1955,48,5,0.10416666666666667,6,0.125,31,1,0,1,1,3,0
1956,40,0,0.0,0,0.0,23,0,0,0,0,0,0
1957,71,3,0.04225352112676056,3,0.04225352112676056,45,1,0,2,0,1,0
1958,39,1,0.02564102564102564,1,0.02564102564102564,26,1,0,1,0,0,0
1959,65,4,0.06153846153846154,5,0.07692307692307693,49,0,0,1,0,3,0
1960,61,10,0.16393442622950818,10,0.16393442622950818,45,0,0,4,1,6,0
1961,42,4,0.09523809523809523,4,0.09523809523809523,33,0,0,2,0,2,0
1962,37,0,0.0,0,0.0,29,0,0,0,0,0,0
1963,33,4,0.12121212121212122,5,0.15151515151515152,25,2,0,0,0,4,0
1964,73,2,0.0273972602739726,2,0.0273972602739726,37,15,0,0,0,2,0
1965,52,1,0.019230769230769232,1,0.019230769230769232,31,3,0,0,0,1,0
1966,39,3,0.07692307692307693,3,0.07692307692307693,16,5,0,0,0,3,0
1967,55,2,0.03636363636363636,2,0.03636363636363636,32,5,0,0,0,2,0
1968,47,1,0.02127659574468085,1,0.02127659574468085,22,7,0,1,0,0,0
1969,46,1,0.021739130434782608,2,0.043478260869565216,25,2,0,0,0,1,0
1970,72,2,0.027777777777777776,2,0.027777777777777776,38,10,0,0,1,1,0
1971,117,1,0.008547008547008548,2,0.017094017094017096,48,47,0,0,0,1,0
1972,172,5,0.029069767441860465,7,0.040697674418604654,29,119,0,1,1,3,0
1973,215,14,0.06511627906976744,19,0.08837209302325581,42,136,0,9,0,5,0
1974,281,13,0.046263345195729534,26,0.09252669039145907,69,165,0,6,0,7,0
1975,191,20,0.10471204188481675,23,0.12041884816753927,38,120,0,9,1,10,0
1976,296,41,0.13851351351351351,46,0.1554054054054054,74,179,0,11,4,26,0
1977,266,64,0.24060150375939848,70,0.2631578947368421,42,192,0,22,25,17,0
1978,272,46,0.16911764705882354,55,0.20220588235294118,64,178,1,25,10,10,0
