active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
ABACAVIR,ABACAVIR,,,
ABACAVIR SULFATE,ABACAVIR SULFATE,,,
ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,ABACAVIR DOLUTEGRAVIR LAMIVUDINE,,,
"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",ABACAVIR DOLUTEGRAVIR LAMIVUDINE,,,
ABALOPARATIDE,ABALOPARATIDE,,,
ABAMETAPIR,ABAMETAPIR,,,
ABARELIX,ABARELIX,,,
ABATACEPT,ABATACEPT,,,
ABCIXIMAB,ABCIXIMAB,,,
ABEMACICLIB,ABEMACICLIB,,,
ABIRATERONE ACETATE,ABIRATERONE ACETATE,,,
ABROCITINIB,ABROCITINIB,,,
ACALABRUTINIB,ACALABRUTINIB,,,
ACALABRUTINIB MALEATE,ACALABRUTINIB MALEATE,,,
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,,,
ACARBOSE,ACARBOSE,,,
ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,,,
ACECLIDINE HYDROCHLORIDE,ACECLIDINE HYDROCHLORIDE,,,
ACETAMINOPHEN,ACETAMINOPHEN,,,
ACETAZOLAMIDE,ACETAZOLAMIDE,,,
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,,,
"ACETIC ACID, GLACIAL",ACETIC ACID GLACIAL,,,
ACETOHEXAMIDE,ACETOHEXAMIDE,,,
ACETOHYDROXAMIC ACID,ACETOHYDROXAMIC ACID,,,
ACETOPHENAZINE MALEATE,ACETOPHENAZINE MALEATE,,,
ACETRIZOATE SODIUM,ACETRIZOATE SODIUM,,,
ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,,,
ACETYLCYSTEINE,ACETYLCYSTEINE,,,
ACETYLCYSTEINE LYSINE,ACETYLCYSTEINE LYSINE,,,
ACITRETIN,ACITRETIN,,,
ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,,,
ACOLTREMON,ACOLTREMON,,,
ACORAMIDIS HYDROCHLORIDE,ACORAMIDIS HYDROCHLORIDE,,,
ACRIVASTINE,ACRIVASTINE,,,
ACYCLOVIR,ACYCLOVIR,,,
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,,,
ADAGRASIB,ADAGRASIB,,,
ADALIMUMAB,ADALIMUMAB,,,
ADALIMUMAB-AACF,ADALIMUMAB AACF,,,
ADALIMUMAB-AATY,ADALIMUMAB AATY,,,
ADALIMUMAB-ADAZ,ADALIMUMAB ADAZ,,,
ADALIMUMAB-ADBM,ADALIMUMAB ADBM,,,
ADALIMUMAB-AFZB,ADALIMUMAB AFZB,,,
ADALIMUMAB-AQVH,ADALIMUMAB AQVH,,,
ADALIMUMAB-ATTO,ADALIMUMAB ATTO,,,
ADALIMUMAB-BWWD,ADALIMUMAB BWWD,,,
ADALIMUMAB-FKJP,ADALIMUMAB FKJP,,,
ADALIMUMAB-RYVK,ADALIMUMAB RYVK,,,
ADAPALENE,ADAPALENE,,,
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,,,
ADENOSINE,ADENOSINE,,,
ADO-TRASTUZUMAB EMTANSINE,ADO TRASTUZUMAB EMTANSINE,,,
ADUCANUMAB-AVWA,ADUCANUMAB AVWA,,,
AFAMELANOTIDE,AFAMELANOTIDE,,,
AFATINIB,AFATINIB,,,
AFATINIB DIMALEATE,AFATINIB DIMALEATE,,,
AFICAMTEN,AFICAMTEN,,,
AFLIBERCEPT,AFLIBERCEPT,,,
AFLIBERCEPT-ABZV,AFLIBERCEPT ABZV,,,
AFLIBERCEPT-AYYH,AFLIBERCEPT AYYH,,,
AFLIBERCEPT-BOAV,AFLIBERCEPT BOAV,,,
AFLIBERCEPT-JBVF,AFLIBERCEPT JBVF,,,
AFLIBERCEPT-MRBB,AFLIBERCEPT MRBB,,,
AFLIBERCEPT-YSZY,AFLIBERCEPT YSZY,,,
AGALSIDASE BETA,AGALSIDASE BETA,,,
AIR,AIR,,,
AIR POLYMER-TYPE A,AIR POLYMER TYPE A,,,
ALATROFLOXACIN MESYLATE,ALATROFLOXACIN MESYLATE,,,
ALBENDAZOLE,ALBENDAZOLE,,,
ALBIGLUTIDE,ALBIGLUTIDE,,,
ALBUMIN CHROMATED CR-51 SERUM,ALBUMIN CHROMATED CR 51 SERUM,,,
ALBUMIN HUMAN,ALBUMIN HUMAN,,,
ALBUMIN IODINATED I-125 SERUM,ALBUMIN IODINATED I 125 SERUM,,,
ALBUMIN IODINATED I-131 SERUM,ALBUMIN IODINATED I 131 SERUM,,,
ALBUTEROL,ALBUTEROL,,,
ALBUTEROL SULFATE,ALBUTEROL SULFATE,,,
ALCAFTADINE,ALCAFTADINE,,,
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,,,
ALCOHOL,ALCOHOL,,,
ALDESLEUKIN,ALDESLEUKIN,,,
ALECTINIB HYDROCHLORIDE,ALECTINIB HYDROCHLORIDE,,,
ALEMTUZUMAB,ALEMTUZUMAB,,,
ALENDRONATE SODIUM,ALENDRONATE SODIUM,,,
ALFENTANIL HYDROCHLORIDE,ALFENTANIL HYDROCHLORIDE,,,
ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE,,,
ALGLUCOSIDASE ALFA,ALGLUCOSIDASE ALFA,,,
ALIROCUMAB,ALIROCUMAB,,,
ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE,,,
ALITRETINOIN,ALITRETINOIN,,,
ALLOPURINOL,ALLOPURINOL,,,
ALLOPURINOL SODIUM,ALLOPURINOL SODIUM,,,
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,,,
ALOGLIPTIN,ALOGLIPTIN,,,
ALOGLIPTIN AND METFORMIN HYDROCHLORIDE,ALOGLIPTIN AND METFORMIN HYDROCHLORIDE,,,
ALOGLIPTIN BENZOATE,ALOGLIPTIN BENZOATE,,,
ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE,,,
ALPELISIB,ALPELISIB,,,
ALPHA-TOCOPHEROL ACETATE,ALPHA TOCOPHEROL ACETATE,,,
ALPRAZOLAM,ALPRAZOLAM,,,
ALPROSTADIL,ALPROSTADIL,,,
ALTEPLASE,ALTEPLASE,,,
ALTRETAMINE,ALTRETAMINE,,,
ALUMINUM ACETATE,ALUMINUM ACETATE,,,
ALUMINUM HYDROXIDE,ALUMINUM HYDROXIDE,,,
ALVIMOPAN,ALVIMOPAN,,,
AMANTADINE,AMANTADINE,,,
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,,,
AMBENONIUM CHLORIDE,AMBENONIUM CHLORIDE,,,
AMBRISENTAN,AMBRISENTAN,,,
AMCINONIDE,AMCINONIDE,,,
AMIFAMPRIDINE,AMIFAMPRIDINE,,,
AMIFAMPRIDINE PHOSPHATE,AMIFAMPRIDINE PHOSPHATE,,,
AMIFOSTINE,AMIFOSTINE,,,
AMIKACIN SULFATE,AMIKACIN SULFATE,,,
AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE,,,
AMINO ACIDS,AMINO ACIDS,,,
AMINOCAPROIC ACID,AMINOCAPROIC ACID,,,
AMINOGLUTETHIMIDE,AMINOGLUTETHIMIDE,,,
AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,,,
AMINOLEVULINIC ACID HYDROCHLORIDE,AMINOLEVULINIC ACID HYDROCHLORIDE,,,
AMINOPHYLLINE,AMINOPHYLLINE,,,
AMINOSALICYLATE SODIUM,AMINOSALICYLATE SODIUM,,,
AMINOSALICYLIC ACID,AMINOSALICYLIC ACID,,,
AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE,,,
AMISULPRIDE,AMISULPRIDE,,,
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,,,
AMIVANTAMAB AND HYALURONIDASE-LPUJ,AMIVANTAMAB AND HYALURONIDASE LPUJ,,,
AMIVANTAMAB-VMJW,AMIVANTAMAB VMJW,,,
AMLEXANOX,AMLEXANOX,,,
AMLODIPINE BENZOATE,AMLODIPINE BENZOATE,,,
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,,,
AMLODIPINE MALEATE,AMLODIPINE MALEATE,,,
AMMONIA N-13,AMMONIA N 13,,,
AMMONIUM CHLORIDE,AMMONIUM CHLORIDE,,,
AMMONIUM LACTATE,AMMONIUM LACTATE,,,
AMOXAPINE,AMOXAPINE,,,
AMOXICILLIN,AMOXICILLIN,,,
