dea_source_name_raw,dea_candidate_name_norm,dea_candidate_type,dea_root_norm,dea_current_schedule,dea_drug_code,dea_conversion_factor,dea_is_csa_scheduled,dea_is_list_i_chemical,dea_source_file,dea_source_url
(+/-)cis-4-Methylaminorex,CIS 4 METHYLAMINOREX,core_name,CIS 4 METHYLAMINOREX,I,1590,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
(+/-)cis-4-Methylaminorex Hydrochloride,CIS 4 METHYLAMINOREX HYDROCHLORIDE,core_name,CIS 4 METHYLAMINOREX,I,1590,0.83,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone)",1 2 PROPAN 1 ONE,core_name,1 2 PROPAN 1 ONE,I,7547,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone)",1 3 BENZODIOXOL 5 YL,alias_fragment,1 3 BENZODIOXOL 5 YL,I,7547,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone)",ETHYLAMINO,alias_fragment,ETHYLAMINO,I,7547,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone)",ETHYLONE,alias_fragment,ETHYLONE,I,7547,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone)",3 BENZODIOXOL 5 YL 2 PROPAN 1 ONE,alias_fragment,3 BENZODIOXOL 5 YL 2 PROPAN 1 ONE,I,7547,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone) hydrochloride",1 2 PROPAN 1 ONE HYDROCHLORIDE,core_name,1 2 PROPAN 1 ONE,I,7547,0.86,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone) hydrochloride",1 3 BENZODIOXOL 5 YL,alias_fragment,1 3 BENZODIOXOL 5 YL,I,7547,0.86,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone) hydrochloride",ETHYLAMINO,alias_fragment,ETHYLAMINO,I,7547,0.86,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone) hydrochloride",ETHYLONE,alias_fragment,ETHYLONE,I,7547,0.86,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one (ethylone) hydrochloride",3 BENZODIOXOL 5 YL 2 PROPAN 1 ONE HYDROCHLORIDE,alias_fragment,3 BENZODIOXOL 5 YL 2 PROPAN 1 ONE,I,7547,0.86,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone (FUB-144)",1H INDOL 3 YL METHANONE,core_name,1H INDOL 3 YL METHANONE,I,7014,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone (FUB-144)",1 4 FLUOROBENZYL,alias_fragment,1 4 FLUOROBENZYL,I,7014,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone (FUB-144)",2 2 3 3 TETRAMETHYLCYCLOPROPYL,alias_fragment,2 2 3 3 TETRAMETHYLCYCLOPROPYL,I,7014,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone (FUB-144)",FUB 144,alias_fragment,FUB,I,7014,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone (FUB-144)",1H INDOL 3 YL 2,alias_fragment,1H INDOL 3 YL,I,7014,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
"(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone (FUB-144)",3 TETRAMETHYLCYCLOPROPYL METHANONE,alias_fragment,3 TETRAMETHYLCYCLOPROPYL METHANONE,I,7014,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (4-CN-CUMYL-BUTINACA),1 N 1H INDAZOLE 3 CARBOXAMIDE,core_name,1 N 1H INDAZOLE 3 CARBOXAMIDE,I,7089,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (4-CN-CUMYL-BUTINACA),4 CYANOBUTYL,alias_fragment,4 CYANOBUTYL,I,7089,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (4-CN-CUMYL-BUTINACA),2 PHENYLPROPAN 2 YL,alias_fragment,2 PHENYLPROPAN 2 YL,I,7089,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide (4-CN-CUMYL-BUTINACA),4 CN CUMYL BUTINACA,alias_fragment,4 CN CUMYL BUTINACA,I,7089,1.0,True,False,dea_conversion_factors.html,https://www.deadiversion.usdoj.gov/quotas/conv_factor/index.html
