ActiveIngredient_list,dea_active_ingredient_token_count,dea_confident_controlled_match_flag,dea_list_i_only_match_flag,dea_possible_candidate_only_flag,dea_confident_matched_token_count,dea_list_i_token_count,dea_possible_candidate_token_count,dea_confident_match_methods,dea_confident_matched_fda_tokens,dea_confident_substance_names,dea_confident_current_schedules,dea_confident_drug_codes,dea_list_i_substance_names,dea_list_i_drug_codes,dea_possible_candidate_tokens,dea_possible_candidate_substance_names,dea_possible_candidate_methods,dea_unmatched_fda_tokens,dea_edge_case_notes,dea_schedule_scope_note,dea_linkage_status,dea_uncertain_flag
ABACAVIR SULFATE,1,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR SULFATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,3,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR SULFATE | DOLUTEGRAVIR SODIUM | LAMIVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR SULFATE; LAMIVUDINE,2,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR SULFATE | LAMIVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,3,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR SULFATE | LAMIVUDINE | ZIDOVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,1,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",1,False,False,False,0,0,0,,,,,,,,,,,"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,3,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR | DOLUTEGRAVIR | LAMIVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR; LAMIVUDINE,2,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR | LAMIVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR;DOLUTEGRAVIR;LAMIVUDINE,3,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR | DOLUTEGRAVIR | LAMIVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABACAVIR;LAMIVUDINE,2,False,False,False,0,0,0,,,,,,,,,,,ABACAVIR | LAMIVUDINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABALOPARATIDE,1,False,False,False,0,0,0,,,,,,,,,,,ABALOPARATIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABAMETAPIR,1,False,False,False,0,0,0,,,,,,,,,,,ABAMETAPIR,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABARELIX,1,False,False,False,0,0,0,,,,,,,,,,,ABARELIX,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABATACEPT,1,False,False,False,0,0,0,,,,,,,,,,,ABATACEPT,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABCIXIMAB,1,False,False,False,0,0,0,,,,,,,,,,,ABCIXIMAB,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABEMACICLIB,1,False,False,False,0,0,0,,,,,,,,,,,ABEMACICLIB,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABIRATERONE ACETATE,1,False,False,False,0,0,0,,,,,,,,,,,ABIRATERONE ACETATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABIRATERONE ACETATE; NIRAPARIB TOSYLATE,2,False,False,False,0,0,0,,,,,,,,,,,ABIRATERONE ACETATE | NIRAPARIB TOSYLATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ABROCITINIB,1,False,False,False,0,0,0,,,,,,,,,,,ABROCITINIB,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACALABRUTINIB,1,False,False,False,0,0,0,,,,,,,,,,,ACALABRUTINIB,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACALABRUTINIB MALEATE,1,False,False,False,0,0,0,,,,,,,,,,,ACALABRUTINIB MALEATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
