year,orig_confident_denominator,orig_confident_numerator,orig_confident_share,ap_confident_denominator,ap_confident_numerator,ap_confident_share,orig_nda_confident_denominator,orig_nda_confident_numerator,orig_nda_confident_share,orig_confident_plus_list_i_denominator,orig_confident_plus_list_i_numerator,orig_confident_plus_list_i_share,orig_any_signal_denominator,orig_any_signal_numerator,orig_any_signal_share,time_index_from_1960,time_index_from_1980,event_time_1992,post_1992,post_1992_trend,post_1984,post_1984_trend,post_1997,post_2002,post_2007,post_2012,post_2017,orig_confident_share_roll3,orig_nda_confident_share_roll3,orig_any_signal_share_roll3,policy_era
1960,61,10,0.16393442622950818,80,10,0.125,45,10,0.2222222222222222,61,10,0.16393442622950818,61,10,0.16393442622950818,0,-20,-32,0,0,0,0,0,0,0,0,0,0.1295862607338017,0.1717171717171717,0.1295862607338017,1960-1983 pre-HW/PDUFA
1961,42,4,0.09523809523809523,109,4,0.03669724770642202,33,4,0.12121212121212122,42,4,0.09523809523809523,42,4,0.09523809523809523,1,-19,-31,0,0,0,0,0,0,0,0,0,0.08639084048920113,0.11447811447811447,0.08639084048920113,1960-1983 pre-HW/PDUFA
1962,37,0,0.0,79,0,0.0,29,0,0.0,37,0,0.0,37,0,0.0,2,-18,-30,0,0,0,0,0,0,0,0,0,0.07215007215007214,0.09373737373737374,0.08225108225108226,1960-1983 pre-HW/PDUFA
1963,33,4,0.12121212121212122,108,4,0.037037037037037035,25,4,0.16,33,5,0.15151515151515152,33,5,0.15151515151515152,3,-17,-29,0,0,0,0,0,0,0,0,0,0.04953646049536461,0.07135135135135136,0.059637470596374705,1960-1983 pre-HW/PDUFA
1964,73,2,0.0273972602739726,140,2,0.014285714285714285,37,2,0.05405405405405406,73,2,0.0273972602739726,73,2,0.0273972602739726,4,-16,-28,0,0,0,0,0,0,0,0,0,0.05594671690562101,0.08210403952339436,0.06604772700663113,1960-1983 pre-HW/PDUFA
1965,52,1,0.019230769230769232,138,1,0.007246376811594203,31,1,0.03225806451612903,52,1,0.019230769230769232,52,1,0.019230769230769232,5,-15,-27,0,0,0,0,0,0,0,0,0,0.041183702142606256,0.09127070619006102,0.041183702142606256,1960-1983 pre-HW/PDUFA
1966,39,3,0.07692307692307693,170,3,0.01764705882352941,16,3,0.1875,39,3,0.07692307692307693,39,3,0.07692307692307693,6,-14,-26,0,0,0,0,0,0,0,0,0,0.04417249417249417,0.09408602150537633,0.04417249417249417,1960-1983 pre-HW/PDUFA
1967,55,2,0.03636363636363636,195,2,0.010256410256410256,32,2,0.0625,55,2,0.03636363636363636,55,2,0.03636363636363636,7,-13,-25,0,0,0,0,0,0,0,0,0,0.04485443634379804,0.0984848484848485,0.04485443634379804,1960-1983 pre-HW/PDUFA
1968,47,1,0.02127659574468085,124,1,0.008064516129032258,22,1,0.045454545454545456,47,1,0.02127659574468085,47,1,0.02127659574468085,8,-12,-24,0,0,0,0,0,0,0,0,0,0.026459787514366607,0.04931818181818182,0.03370616432596081,1960-1983 pre-HW/PDUFA
1969,46,1,0.021739130434782608,160,2,0.0125,25,1,0.04,46,1,0.021739130434782608,46,2,0.043478260869565216,9,-11,-23,0,0,0,0,0,0,0,0,0,0.023597834652413746,0.04602870813397129,0.03084421146400795,1960-1983 pre-HW/PDUFA
1970,72,2,0.027777777777777776,223,2,0.008968609865470852,38,2,0.05263157894736842,72,2,0.027777777777777776,72,2,0.027777777777777776,10,-10,-22,0,0,0,0,0,0,0,0,0,0.01935463891985631,0.030877192982456142,0.029450018580453364,1960-1983 pre-HW/PDUFA
1971,117,1,0.008547008547008548,272,1,0.003676470588235294,48,0,0.0,117,1,0.008547008547008548,117,2,0.017094017094017096,11,-9,-21,0,0,0,0,0,0,0,0,0,0.02179818458888226,0.029038112522686024,0.028523156430133173,1960-1983 pre-HW/PDUFA
1972,172,5,0.029069767441860465,344,5,0.014534883720930232,29,1,0.034482758620689655,172,5,0.029069767441860465,172,7,0.040697674418604654,12,-8,-20,0,0,0,0,0,0,0,0,0,0.03424435168621215,0.05117679255610289,0.04872126151195919,1960-1983 pre-HW/PDUFA
1973,215,14,0.06511627906976744,373,14,0.03753351206434316,42,5,0.11904761904761904,215,14,0.06511627906976744,215,19,0.08837209302325581,13,-7,-19,0,0,0,0,0,0,0,0,0,0.046816463902452476,0.05117679255610289,0.07386548594443985,1960-1983 pre-HW/PDUFA
1974,281,13,0.046263345195729534,687,47,0.06841339155749636,69,0,0.0,281,13,0.046263345195729534,281,26,0.09252669039145907,14,-6,-18,0,0,0,0,0,0,0,0,0,0.0720305553834379,0.0835421888053467,0.10043921052741805,1960-1983 pre-HW/PDUFA
1975,191,20,0.10471204188481675,1082,71,0.06561922365988909,38,5,0.13157894736842105,191,21,0.1099476439790576,191,23,0.12041884816753927,15,-5,-17,0,0,0,0,0,0,0,0,0,0.09649630019801993,0.04836415362731152,0.12278364798813457,1960-1983 pre-HW/PDUFA
1976,296,41,0.13851351351351351,1502,90,0.05992010652463382,74,1,0.013513513513513514,296,41,0.13851351351351351,296,46,0.1554054054054054,16,-4,-16,0,0,0,0,0,0,0,0,0,0.16127568638590958,0.07217367743683532,0.17966071610326226,1960-1983 pre-HW/PDUFA
1977,266,64,0.24060150375939848,1489,116,0.07790463398253862,42,3,0.07142857142857142,266,64,0.24060150375939848,266,70,0.2631578947368421,17,-3,-15,0,0,0,0,0,0,0,0,0,0.18274422144391186,0.03873069498069498,0.20692306083172954,1960-1983 pre-HW/PDUFA
1978,272,46,0.16911764705882354,2061,112,0.054342552159146046,64,2,0.03125,272,46,0.16911764705882354,272,55,0.20220588235294118,18,-2,-14,0,0,0,0,0,0,0,0,0,0.1628888397464249,0.04497887864823349,0.18670020639834883,1960-1983 pre-HW/PDUFA
1979,190,15,0.07894736842105263,1933,101,0.05225038799793068,62,2,0.03225806451612903,190,15,0.07894736842105263,190,18,0.09473684210526316,19,-1,-13,0,0,0,0,0,0,0,0,0,0.10491056071551429,0.03336447678992919,0.12755233672416336,1960-1983 pre-HW/PDUFA
1980,210,14,0.06666666666666667,2070,87,0.042028985507246375,82,3,0.036585365853658534,210,15,0.07142857142857142,210,18,0.08571428571428572,20,0,-12,0,0,0,0,0,0,0,0,0,0.0902046783625731,0.04172715284626721,0.10991889445836815,1960-1983 pre-HW/PDUFA
1981,288,36,0.125,2222,141,0.06345634563456345,71,4,0.056338028169014086,288,37,0.1284722222222222,288,43,0.14930555555555555,21,1,-11,0,0,0,0,0,0,0,0,0,0.10287524366471734,0.04430779800755754,0.12122493734335839,1960-1983 pre-HW/PDUFA
1982,342,40,0.11695906432748537,2997,307,0.10243576910243576,100,4,0.04,342,41,0.11988304093567251,342,44,0.1286549707602339,22,2,-10,0,0,0,0,0,0,0,0,0,0.1141102705131271,0.03694359393073416,0.1298282299615209,1960-1983 pre-HW/PDUFA
1983,269,27,0.10037174721189591,2418,262,0.10835401157981803,69,1,0.014492753623188406,269,27,0.10037174721189591,269,30,0.11152416356877323,23,3,-9,0,0,0,0,0,0,0,0,0,0.10720843002232955,0.030396667109870143,0.11993701205649931,1960-1983 pre-HW/PDUFA
1984,326,34,0.10429447852760736,2838,199,0.07011980267794221,109,4,0.03669724770642202,326,38,0.1165644171779141,326,39,0.1196319018404908,24,4,-8,0,0,1,0,0,0,0,0,0,0.10384548491571229,0.03332349637816282,0.11946084283786325,1984-1992 HW pre-PDUFA
1985,393,42,0.10687022900763359,3429,207,0.06036745406824147,82,4,0.04878048780487805,393,50,0.1272264631043257,393,50,0.1272264631043257,25,5,-7,0,0,1,1,0,0,0,0,0,0.10804513961077071,0.032766082777270965,0.12273242569290256,1984-1992 HW pre-PDUFA
1986,478,54,0.11297071129707113,3560,265,0.07443820224719101,78,1,0.01282051282051282,478,55,0.11506276150627615,478,58,0.12133891213389121,26,6,-6,0,0,1,2,0,0,0,0,0,0.112535137120863,0.0262807933119119,0.12410595674939899,1984-1992 HW pre-PDUFA
1987,501,59,0.11776447105788423,3422,331,0.0967270601987142,58,1,0.017241379310344827,501,61,0.1217564870259481,501,62,0.12375249500998003,27,7,-5,0,0,1,3,0,0,0,0,0,0.1128091633490877,0.010020630710285883,0.11905977307726112,1984-1992 HW pre-PDUFA
1988,455,49,0.1076923076923077,4457,555,0.12452322189813776,59,0,0.0,455,51,0.11208791208791209,455,51,0.11208791208791209,28,8,-4,0,0,1,4,0,0,0,0,0,0.10048559291673065,0.005747126436781609,0.1066134690326307,1984-1992 HW pre-PDUFA
1989,250,19,0.076,3876,396,0.1021671826625387,85,0,0.0,250,20,0.08,250,21,0.084,29,9,-3,0,0,1,5,0,0,0,0,0,0.09797617605491622,0.027777777777777776,0.10210804418678436,1984-1992 HW pre-PDUFA
1990,127,14,0.11023622047244094,2856,229,0.08018207282913166,60,5,0.08333333333333333,127,14,0.11023622047244094,127,14,0.11023622047244094,30,10,-2,0,0,1,6,0,0,0,0,0,0.08835813158209997,0.039473684210526314,0.09379104997767396,1984-1992 HW pre-PDUFA
1991,241,19,0.07883817427385892,3844,309,0.0803850156087409,57,2,0.03508771929824561,241,21,0.08713692946058091,241,21,0.08713692946058091,31,11,-1,0,0,1,7,0,0,0,0,0,0.0871059135846348,0.062200956937799035,0.09367444668236342,1984-1992 HW pre-PDUFA
1992,263,19,0.07224334600760456,3754,254,0.06766116142781034,88,6,0.06818181818181818,263,21,0.07984790874524715,263,22,0.08365019011406843,32,12,0,1,0,1,8,0,0,0,0,0,0.07407040913147807,0.04452418926103136,0.0820336423686767,1984-1992 HW pre-PDUFA
1993,239,17,0.07112970711297072,3591,319,0.08883319409635199,66,2,0.030303030303030304,239,17,0.07112970711297072,239,18,0.07531380753138076,33,13,1,1,1,1,9,0,0,0,0,0,0.0704576843735251,0.032828282828282825,0.0836546658818164,1993-1997 PDUFA I
1994,250,17,0.068,3700,273,0.07378378378378378,58,0,0.0,250,20,0.08,250,23,0.092,34,14,2,1,2,1,10,0,0,0,0,0,0.06041165675695515,0.017852948085506224,0.06980635689642516,1993-1997 PDUFA I
