ActiveIngredient_list,ingredient_token_order,fda_ingredient_token_raw,fda_token_norm,fda_token_root_norm,dea_scheduled_substance_names,dea_scheduled_candidate_names,dea_scheduled_current_schedules,dea_scheduled_drug_codes,dea_list_i_substance_names,dea_list_i_candidate_names,dea_list_i_drug_codes,dea_source_name_count,dea_scheduled_candidate_count,dea_list_i_candidate_count,dea_candidate_type_summary,dea_stage_label,dea_confident_match_flag,dea_list_i_only_flag,dea_match_method,dea_possible_candidate_substance_names,dea_possible_candidate_names,dea_possible_candidate_schedules,dea_possible_candidate_drug_codes,dea_possible_candidate_count,dea_possible_match_method
ABACAVIR SULFATE,1,ABACAVIR SULFATE,ABACAVIR SULFATE,ABACAVIR,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,1,ABACAVIR SULFATE,ABACAVIR SULFATE,ABACAVIR,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,2,DOLUTEGRAVIR SODIUM,DOLUTEGRAVIR SODIUM,DOLUTEGRAVIR,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,3,LAMIVUDINE,LAMIVUDINE,LAMIVUDINE,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; LAMIVUDINE,1,ABACAVIR SULFATE,ABACAVIR SULFATE,ABACAVIR,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; LAMIVUDINE,2,LAMIVUDINE,LAMIVUDINE,LAMIVUDINE,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,1,ABACAVIR SULFATE,ABACAVIR SULFATE,ABACAVIR,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,2,LAMIVUDINE,LAMIVUDINE,LAMIVUDINE,,,,,,,,,,,,,,,,,,,,,
ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,3,ZIDOVUDINE,ZIDOVUDINE,ZIDOVUDINE,,,,,,,,,,,,,,,,,,,,,
ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,1,ABACAVIR || DOLUTEGRAVIR || LAMIVUDINE,ABACAVIR DOLUTEGRAVIR LAMIVUDINE,ABACAVIR DOLUTEGRAVIR LAMIVUDINE,,,,,,,,,,,,,,,,,,,,,
"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",1,"ABACAVIR, DOLUTEGRAVIR, LAMIVUDINE",ABACAVIR DOLUTEGRAVIR LAMIVUDINE,ABACAVIR DOLUTEGRAVIR LAMIVUDINE,,,,,,,,,,,,,,,,,,,,,
ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,1,ABACAVIR,ABACAVIR,ABACAVIR,,,,,,,,,,,,,,,,,,,,,
