approval_year,MISSING,OTHER/UNKNOWN,PRIORITY,STANDARD
1900.0,1.0,0.0,0.0,0.0
1939.0,8.0,5.0,0.0,2.0
1940.0,5.0,4.0,0.0,2.0
1941.0,9.0,6.0,0.0,1.0
1942.0,4.0,6.0,0.0,2.0
1943.0,3.0,2.0,0.0,2.0
1944.0,5.0,5.0,0.0,0.0
1945.0,2.0,2.0,1.0,1.0
1946.0,5.0,7.0,1.0,1.0
1947.0,3.0,13.0,0.0,5.0
1948.0,14.0,12.0,0.0,2.0
1949.0,4.0,10.0,1.0,2.0
1950.0,9.0,3.0,7.0,9.0
1951.0,8.0,1.0,5.0,12.0
1952.0,14.0,1.0,7.0,13.0
1953.0,12.0,2.0,14.0,20.0
1954.0,11.0,4.0,10.0,22.0
1955.0,9.0,1.0,6.0,32.0
1956.0,11.0,2.0,5.0,22.0
1957.0,15.0,5.0,12.0,39.0
1958.0,9.0,3.0,5.0,22.0
1959.0,9.0,0.0,11.0,45.0
1960.0,12.0,0.0,10.0,39.0
1961.0,4.0,0.0,7.0,31.0
1962.0,5.0,1.0,12.0,19.0
1963.0,5.0,4.0,5.0,19.0
1964.0,30.0,9.0,11.0,23.0
1965.0,19.0,8.0,5.0,20.0
1966.0,15.0,6.0,6.0,12.0
1967.0,15.0,6.0,13.0,21.0
1968.0,22.0,4.0,9.0,12.0
1969.0,16.0,7.0,6.0,17.0
1970.0,29.0,9.0,7.0,27.0
1971.0,67.0,10.0,7.0,33.0
1972.0,140.0,8.0,4.0,20.0
1973.0,165.0,2.0,13.0,35.0
1974.0,203.0,1.0,19.0,58.0
1975.0,152.0,0.0,6.0,33.0
1976.0,211.0,1.0,21.0,63.0
1977.0,218.0,0.0,13.0,35.0
1978.0,206.0,3.0,15.0,48.0
1979.0,131.0,0.0,6.0,53.0
1980.0,116.0,3.0,8.0,83.0
1981.0,223.0,2.0,16.0,47.0
1982.0,253.0,0.0,14.0,75.0
1983.0,223.0,0.0,7.0,39.0
1984.0,232.0,0.0,15.0,79.0
1985.0,307.0,3.0,19.0,64.0
1986.0,395.0,2.0,19.0,62.0
1987.0,439.0,0.0,12.0,50.0
1988.0,395.0,0.0,11.0,49.0
1989.0,162.0,5.0,14.0,69.0
1990.0,66.0,0.0,20.0,41.0
1991.0,177.0,1.0,20.0,43.0
1992.0,173.0,2.0,17.0,71.0
1993.0,168.0,0.0,20.0,51.0
1994.0,179.0,3.0,19.0,49.0
1995.0,192.0,0.0,17.0,76.0
1996.0,211.0,2.0,32.0,113.0
1997.0,270.0,2.0,18.0,115.0
1998.0,235.0,1.0,31.0,71.0
1999.0,194.0,1.0,27.0,55.0
2000.0,246.0,0.0,20.0,84.0
2001.0,226.0,0.0,14.0,62.0
2002.0,320.0,2.0,15.0,79.0
2003.0,271.0,0.0,18.0,65.0
2004.0,381.0,0.0,30.0,94.0
2005.0,350.0,1.0,25.0,61.0
2006.0,380.0,2.0,21.0,84.0
2007.0,515.0,2.0,24.0,62.0
2008.0,484.0,1.0,19.0,73.0
2009.0,485.0,2.0,19.0,78.0
2010.0,451.0,0.0,17.0,77.0
2011.0,487.0,0.0,25.0,67.0
2012.0,533.0,0.0,22.0,75.0
2013.0,433.0,0.0,17.0,142.0
2014.0,429.0,6.0,36.0,94.0
2015.0,481.0,1.0,38.0,209.0
2016.0,278.0,2.0,25.0,449.0
2017.0,223.0,5.0,50.0,764.0
2018.0,128.0,9.0,64.0,829.0
2019.0,72.0,3.0,49.0,885.0
2020.0,51.0,4.0,44.0,841.0
2021.0,37.0,2.0,55.0,698.0
2022.0,36.0,4.0,41.0,846.0
2023.0,33.0,1.0,52.0,917.0
2024.0,24.0,4.0,39.0,901.0
2025.0,10.0,5.0,41.0,984.0
2026.0,4.0,2.0,3.0,186.0
