active_ingredient,approval_count
ACETAMINOPHEN,500
HYDROCHLOROTHIAZIDE,395
ETHINYL ESTRADIOL,371
POTASSIUM CHLORIDE,260
IBUPROFEN,240
SODIUM CHLORIDE,234
HYDROCODONE BITARTRATE,192
METFORMIN HYDROCHLORIDE,184
TRIAMCINOLONE ACETONIDE,155
CODEINE PHOSPHATE,150
LIDOCAINE HYDROCHLORIDE,144
OXYCODONE HYDROCHLORIDE,140
LAMIVUDINE,137
DEXTROSE,135
HYDROCORTISONE,130
AMLODIPINE BESYLATE,116
AMITRIPTYLINE HYDROCHLORIDE,115
LEVETIRACETAM,114
AMOXICILLIN,114
FAMOTIDINE,112
LEVONORGESTREL,112
PROMETHAZINE HYDROCHLORIDE,111
CAFFEINE,106
NORETHINDRONE,105
CLINDAMYCIN PHOSPHATE,104
