active_ingredient,approval_count
ACETAMINOPHEN,444
HYDROCODONE BITARTRATE,192
CODEINE PHOSPHATE,150
OXYCODONE HYDROCHLORIDE,140
BUTALBITAL,93
CAFFEINE,90
PHENTERMINE HYDROCHLORIDE,89
METHYLPHENIDATE HYDROCHLORIDE,88
DEXTROAMPHETAMINE SULFATE,77
MORPHINE SULFATE,76
DIAZEPAM,70
CHLORDIAZEPOXIDE HYDROCHLORIDE,67
AMPHETAMINE SULFATE,65
PREGABALIN,62
ASPIRIN,58
LORAZEPAM,57
TRAMADOL HYDROCHLORIDE,53
BUPRENORPHINE HYDROCHLORIDE,47
DEXTROAMPHETAMINE SACCHARATE,45
AMPHETAMINE ASPARTATE,44
ZOLPIDEM TARTRATE,44
MIDAZOLAM HYDROCHLORIDE,40
ALPRAZOLAM,39
PROPOXYPHENE HYDROCHLORIDE,38
CLORAZEPATE DIPOTASSIUM,37
