approval_year,orphan_approvals
1900.0,0
1939.0,0
1940.0,0
1941.0,0
1942.0,0
1943.0,0
1944.0,0
1945.0,0
1946.0,0
1947.0,0
1948.0,0
1949.0,0
1950.0,0
1951.0,0
1952.0,2
1953.0,0
1954.0,1
1955.0,0
1956.0,0
1957.0,0
1958.0,1
1959.0,2
1960.0,0
1961.0,0
1962.0,1
1963.0,1
1964.0,0
1965.0,0
1966.0,0
1967.0,0
1968.0,0
1969.0,1
1970.0,1
1971.0,0
1972.0,1
1973.0,0
1974.0,0
1975.0,0
1976.0,0
1977.0,0
1978.0,0
1979.0,1
1980.0,0
1981.0,0
1982.0,0
1983.0,3
1984.0,4
1985.0,5
1986.0,6
1987.0,5
1988.0,5
1989.0,6
1990.0,7
1991.0,6
1992.0,12
1993.0,10
1994.0,9
1995.0,9
1996.0,21
1997.0,11
1998.0,11
1999.0,14
2000.0,6
2001.0,5
2002.0,14
2003.0,12
2004.0,18
2005.0,11
2006.0,10
2007.0,8
2008.0,10
2009.0,15
2010.0,10
2011.0,18
2012.0,25
2013.0,19
2014.0,24
2015.0,31
2016.0,22
2017.0,45
2018.0,53
2019.0,38
2020.0,49
2021.0,39
2022.0,36
2023.0,44
2024.0,44
2025.0,45
2026.0,3
