approval_year,n_total,is_nda,is_anda,is_bla,is_controlled_substance,cs_and_nda,cs_and_anda,is_schedule_ii,is_schedule_iii,is_schedule_iv,is_schedule_v,is_schedule_i,cs_share,cs_share_nda,cs_share_anda
1939,15,7,0,0,0,0,0,0,0,0,0,0,0,0,
1940,11,3,0,0,0,0,0,0,0,0,0,0,0,0,
1941,16,5,0,0,0,0,0,0,0,0,0,0,0,0,
1942,12,5,0,0,2,2,0,2,0,0,0,0,.16666667,.40000001,
1943,7,4,0,0,2,2,0,2,0,0,0,0,.2857143,.5,
1944,10,4,0,0,0,0,0,0,0,0,0,0,0,0,
1945,6,3,0,0,0,0,0,0,0,0,0,0,0,0,
1946,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0
1947,21,14,1,0,3,3,0,3,0,0,0,0,.14285715,.21428572,0
1948,28,10,4,0,0,0,0,0,0,0,0,0,0,0,0
1949,17,13,0,0,0,0,0,0,0,0,0,0,0,0,
1950,28,16,1,0,2,2,0,2,0,0,0,0,.071428575,.125,0
1951,26,18,1,0,0,0,0,0,0,0,0,0,0,0,0
1952,35,18,1,0,1,1,0,1,0,0,0,0,.028571429,.055555556,0
1953,48,35,0,0,2,2,0,2,0,0,0,0,.041666668,.057142857,
1954,47,26,4,0,1,1,0,1,0,0,0,0,.021276595,.03846154,0
1955,48,31,1,0,5,5,0,1,1,3,0,0,.10416666,.16129032,0
1956,40,23,0,0,0,0,0,0,0,0,0,0,0,0,
1957,71,45,1,0,3,3,0,2,0,1,0,0,.04225352,.06666667,0
1958,39,26,1,0,1,1,0,1,0,0,0,0,.025641026,.03846154,0
1959,65,49,0,0,4,4,0,1,0,3,0,0,.061538462,.081632651,
1960,61,45,0,0,10,10,0,4,1,6,0,0,.16393442,.22222222,
1961,42,33,0,0,4,4,0,2,0,2,0,0,.095238097,.12121212,
1962,37,29,0,0,0,0,0,0,0,0,0,0,0,0,
1963,33,25,2,0,4,4,0,0,0,4,0,0,.12121212,.16,0
1964,73,37,15,1,2,2,0,0,0,2,0,0,.02739726,.054054055,0
1965,52,31,3,1,1,1,0,0,0,1,0,0,.01923077,.032258064,0
1966,39,16,5,0,3,3,0,0,0,3,0,0,.07692308,.1875,0
1967,55,32,5,0,2,2,0,0,0,2,0,0,.036363635,.0625,0
