applno,approval_year,sponsorname,drugname_list,activeingredient_list,dea_schedule,dea_schedule_highest,is_multi_ingredient
021997,2009,VIATRIS,EDLUAR,ZOLPIDEM TARTRATE,IV,IV,No
022266,2009,ADALVO,ONSOLIS,FENTANYL CITRATE,II,II,No
022321,2009,ALPHARMA PHARMS,EMBEDA,MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE,II,II,Yes
022402,2009,HIKMA,CODEINE SULFATE,CODEINE SULFATE,II,II,No
021217,2010,SPECGX LLC,EXALGO,HYDROMORPHONE HYDROCHLORIDE,II,II,No
021306,2010,PURDUE PHARMA LP,BUTRANS,BUPRENORPHINE,III,III,No
021463,2010,ENDO OPERATIONS,FORTESTA,TESTOSTERONE,III,III,No
022255,2010,UCB INC,VIMPAT,LACOSAMIDE,V,V,No
022272,2010,PURDUE PHARMA LP,OXYCONTIN,OXYCODONE HYDROCHLORIDE,II,II,No
022370,2010,CIPHER PHARMS INC,CONZIP,TRAMADOL HYDROCHLORIDE,IV,IV,No
022410,2010,INDIVIOR,SUBOXONE,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,III,III,Yes
022488,2010,UPJOHN,LYRICA,PREGABALIN,V,V,No
022504,2010,ELI LILLY AND CO,AXIRON,TESTOSTERONE,III,III,No
200534,2010,GENUS LIFESCIENCES,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,II,II,No
200535,2010,GENUS LIFESCIENCES,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,II,II,No
022309,2011,BESINS HLTHCARE,ANDROGEL,TESTOSTERONE,III,III,No
022328,2011,PURDUE PHARMA,INTERMEZZO,ZOLPIDEM TARTRATE,IV,IV,No
022345,2011,GLAXOSMITHKLINE,POTIGA,EZOGABINE,V,V,No
022439,2011,PERSION,ZUTRIPRO,CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE,II,II,Yes
022442,2011,PERSION,REZIRA,HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE,II,II,Yes
022510,2011,SENTYNL THERAPS INC,ABSTRAL,FENTANYL CITRATE,II,II,No
022569,2011,BTCP PHARMA,LAZANDA,FENTANYL CITRATE,II,II,No
200403,2011,HOSPIRA INC,HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,II,II,No
200533,2011,COLLEGIUM PHARM INC,NUCYNTA ER,TAPENTADOL HYDROCHLORIDE,II,II,No
201517,2011,CHARTWELL MOLECULAR,MORPHINE SULFATE,MORPHINE SULFATE,II,II,No
201655,2011,ENDO PHARMS,OPANA ER,OXYMORPHONE HYDROCHLORIDE,II,II,No
202067,2011,LUNDBECK PHARMS LLC,ONFI,CLOBAZAM,IV,IV,No
202080,2011,ZYLA,OXAYDO,OXYCODONE HYDROCHLORIDE,II,II,No
202088,2011,CITIUS PHARMS,SUPRENZA,PHENTERMINE HYDROCHLORIDE,IV,IV,No
202245,2011,HIKMA,CODEINE SULFATE,CODEINE SULFATE,II,II,No
202515,2011,HOSPIRA INC,MORPHINE SULFATE,MORPHINE SULFATE,II,II,No
022580,2012,VIVUS LLC,QSYMIA,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,IV,IV,Yes
201194,2012,VISTAPHARM LLC,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,II,II,No
202100,2012,NEXTWAVE,QUILLIVANT XR,METHYLPHENIDATE HYDROCHLORIDE,II,II,No
202763,2012,ANI PHARMS,TESTOSTERONE,TESTOSTERONE,III,III,No
202788,2012,BTCP PHARMA,SUBSYS,FENTANYL,II,II,No
203794,2012,COLLEGIUM PHARM INC,NUCYNTA,TAPENTADOL HYDROCHLORIDE,II,II,No
203993,2012,LUNDBECK PHARMS LLC,ONFI,CLOBAZAM,IV,IV,No
202880,2013,RECRO GAINESVILLE,ZOHYDRO ER,HYDROCODONE BITARTRATE,II,II,No
203098,2013,PERRIGO ISRAEL,TESTOSTERONE,TESTOSTERONE,III,III,No
204223,2013,FRESENIUS KABI USA,MORPHINE SULFATE,MORPHINE SULFATE,II,II,No
204242,2013,EDENBRIDGE PHARMS,ZUBSOLV,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,III,III,Yes
204307,2013,PERSION,VITUZ,CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE,II,II,Yes
