approval_year,n_anda_total,n_anda_cs,n_sched_ii,n_sched_iii,n_sched_iv,n_sched_v,n_anda_noncs,anda_cs_share,event_time_gdufa,post_gdufa,gdufa_transition,pre_gdufa,gdufa_era,trend_post_gdufa
1984,207,30,23,0,7,0,177,.14492753,-28,0,0,1,Pre-GDUFA (<=2012),0
1985,291,38,14,0,24,0,253,.1305842,-27,0,0,1,Pre-GDUFA (<=2012),0
1986,363,53,19,1,33,0,310,.14600551,-26,0,0,1,Pre-GDUFA (<=2012),0
1987,390,57,9,0,48,0,333,.14615385,-25,0,0,1,Pre-GDUFA (<=2012),0
1988,359,49,18,0,31,0,310,.13649026,-24,0,0,1,Pre-GDUFA (<=2012),0
1989,147,19,12,0,7,0,128,.1292517,-23,0,0,1,Pre-GDUFA (<=2012),0
1990,59,9,5,0,4,0,50,.15254237,-22,0,0,1,Pre-GDUFA (<=2012),0
1991,165,17,9,1,7,0,148,.1030303,-21,0,0,1,Pre-GDUFA (<=2012),0
1992,152,13,13,0,0,0,139,.085526317,-20,0,0,1,Pre-GDUFA (<=2012),0
1993,153,14,4,0,10,0,139,.09150327,-19,0,0,1,Pre-GDUFA (<=2012),0
1994,169,17,4,0,13,0,152,.10059172,-18,0,0,1,Pre-GDUFA (<=2012),0
1995,182,10,7,0,3,0,172,.054945055,-17,0,0,1,Pre-GDUFA (<=2012),0
1996,205,24,14,3,8,0,181,.11707317,-16,0,0,1,Pre-GDUFA (<=2012),0
1997,255,37,18,0,19,0,218,.14509805,-15,0,0,1,Pre-GDUFA (<=2012),0
1998,225,34,24,0,11,0,191,.15111111,-14,0,0,1,Pre-GDUFA (<=2012),0
1999,185,16,13,0,3,0,169,.086486489,-13,0,0,1,Pre-GDUFA (<=2012),0
2000,243,51,20,0,31,0,192,.20987654,-12,0,0,1,Pre-GDUFA (<=2012),0
2001,218,22,10,1,11,0,196,.10091743,-11,0,0,1,Pre-GDUFA (<=2012),0
2002,316,38,16,0,22,0,278,.12025317,-10,0,0,1,Pre-GDUFA (<=2012),0
2003,256,31,24,0,7,0,225,.12109375,-9,0,0,1,Pre-GDUFA (<=2012),0
2004,366,15,11,0,4,0,351,.040983606,-8,0,0,1,Pre-GDUFA (<=2012),0
2005,332,20,6,2,12,0,312,.060240965,-7,0,0,1,Pre-GDUFA (<=2012),0
2006,351,34,21,4,9,0,317,.096866094,-6,0,0,1,Pre-GDUFA (<=2012),0
2007,470,46,16,5,25,0,424,.097872339,-5,0,0,1,Pre-GDUFA (<=2012),0
2008,458,38,11,2,25,0,420,.082969435,-4,0,0,1,Pre-GDUFA (<=2012),0
2009,457,23,10,1,12,0,434,.050328229,-3,0,0,1,Pre-GDUFA (<=2012),0
2010,418,34,14,6,15,0,384,.081339709,-2,0,0,1,Pre-GDUFA (<=2012),0
2011,457,31,16,0,15,0,426,.067833699,-1,0,0,1,Pre-GDUFA (<=2012),0
2012,510,38,18,2,18,0,472,.074509807,0,0,0,1,Pre-GDUFA (<=2012),0
2013,413,31,22,3,6,0,382,.075060531,1,0,1,0,Transition (2013-2014),0
2014,415,40,21,2,17,0,375,.096385539,2,0,1,0,Transition (2013-2014),0
2015,563,46,29,8,9,0,517,.081705153,3,1,0,0,Post-GDUFA (2015+),3
2016,607,45,34,3,8,0,562,.074135087,4,1,0,0,Post-GDUFA (2015+),4
2017,832,67,44,9,13,0,765,.080528848,5,1,0,0,Post-GDUFA (2015+),5
2018,801,63,39,6,18,0,738,.078651689,6,1,0,0,Post-GDUFA (2015+),6
2019,819,67,32,7,12,16,752,.081807084,7,1,0,0,Post-GDUFA (2015+),7
2020,741,61,39,7,11,4,680,.082321189,8,1,0,0,Post-GDUFA (2015+),8
2021,624,48,23,8,7,10,576,.07692308,9,1,0,0,Post-GDUFA (2015+),9
2022,730,53,9,2,10,32,677,.072602741,10,1,0,0,Post-GDUFA (2015+),10
2023,752,50,26,4,8,12,702,.066489361,11,1,0,0,Post-GDUFA (2015+),11
2024,712,31,9,0,8,14,681,.043539327,12,1,0,0,Post-GDUFA (2015+),12
2025,649,25,2,6,8,7,624,.038520802,13,1,0,0,Post-GDUFA (2015+),13
